modèle_x,Erreur_moyenne,Scores_exp,Scores_gauss
MRI-ESM2-0,1266977.7206944928,1.0,1.0
FGOALS-f3-L,1609115.9512007304,0.9687834865824441,0.9919859953302176
NorESM2-LM,1851119.840308477,0.9472933935661655,0.9768182445673813
NorESM2-MM,1869008.7740352936,0.9457238977329847,0.9753945328141905
IPSL-CM6A-LR,1927404.858420017,0.9406185604658954,0.9704642303779478
CIESM,1962489.8955479078,0.9375644784022904,0.967295945127546
CanESM5,2056824.3977331168,0.929401934499154,0.9580241467290722
CanESM5-CanOE,2183057.4798036977,0.9185903433643201,0.9439477308099844
CESM2-WACCM,2201267.492163014,0.9170411099386737,0.9417639640408294
BCC-CSM2-MR,2286914.028381659,0.9097896231132366,0.9309912957554821
CESM2,2395763.9630150283,0.900656248654278,0.9161435607615958
FGOALS-g3,2430789.8968439093,0.8977368379489359,0.9111007152643673
CNRM-ESM2-1,2649458.974770268,0.8797235222828604,0.8768893535416741
MIROC6,2782513.7885766146,0.8689401992099755,0.8539529099132435
MIROC-ES2L,2791986.0530841844,0.8681775860658714,0.8522640185492278
UKESM1-0-LL,3097609.6139529967,0.8439277119241368,0.7942529224038688
CNRM-CM6-1-HR,3176870.101242909,0.837750125700818,0.7782306998466837
CNRM-CM6-1,3299168.696612282,0.8283067369504011,0.752863537090158
GISS-E2-1-G,3367435.164257603,0.82308185487642,0.7384044649545943
GFDL-CM4,4964078.080384319,0.7098520526989909,0.3908078660263478
HadGEM3-GC31-LL,5206403.305498159,0.6940850462168396,0.34412883621042384
MPI-ESM1-2-LR,9418989.373520521,0.469709022687109,0.010379140935653995
MPI-ESM1-2-HR,9600430.287277445,0.4618752964982629,0.008450244687588274
EC-Earth3-Veg,11545884.451782508,0.38566270659105545,0.000701350764830033
EC-Earth3,12055172.372897997,0.36787944117144233,0.00033546262790251185
